id,user_id,user_name,vendor_id,vendor_name,category_id,category_name,catalog,qty,desc,unitprice,unit,link,orderdate,receiptdate,comment,location
1550,7,hpark,9,Fisher,2,Mol Bio Consumables,F538L,4,Phusion Green HF Buffer Pack,25.89,4 1.5mL tubes,https://www.thermofisher.com/order/catalog/product/F538L,2019-11-21,2019-11-26,,common freezer cloning buffers box
1551,23,yzhao,9,Fisher,7,Enzymes,FD0595,1,FastDigest NotI 150 reactions,161.48,each,https://www.thermofisher.com/order/catalog/product/FD0593,2019-11-21,2019-11-26,,-20 freezer
1552,1,rasi,15,Research Products International,5,Chemicals,R20500-100.0	,1,D-(+)-Raffinose Pentahydrate,137.70,100g,https://www.rpicorp.com/products/biochemicals/carbohydrates/d-raffinose-100-g.html,2019-12-01,2019-12-10,for yeast gal induction,147
1553,1,rasi,15,Research Products International,5,Chemicals,G33000-100.00,1,D-(+)-Galactose,41.40,100g,https://www.rpicorp.com/products/biochemicals/carbohydrates/d-galactose-100-g.html,2019-12-01,2019-12-10,for yeast gal induction,147
1554,14,pburke,9,Fisher,7,Enzymes,FD1824,1,FastDigest SfiI,53.96,each,https://www.thermofisher.com/order/catalog/product/FD1824#/FD1824,2019-12-02,2019-12-04,,-20 freezer
1555,7,hpark,6,Zymo Research,2,Mol Bio Consumables,D4001-1-100,2,ADB (Agarose Dissolving Buffer),62.60,100 ml,http://www.zymoresearch.com/buffers/adb-agarose-dissolving-buffer-100-ml,2019-12-06,2019-12-12,startup item; k99 funds,
1556,25,tbottorff,13,Genesee Scientific,5,Chemicals,25-532,1,"Carbenicillin, Disodium Salt, Powder, >90%",43.10,5g,https://geneseesci.com/shop-online/product-details/?product=25-532,2019-12-10,2019-12-17,,common 4C
1557,7,hpark,9,Fisher,6,Lab consumables,120075,3,"Flint, Renewal, GC Fuller, Shurlite, For Safety Lighter 12-007, Produces up to 1500 ignitions, 5/Pk., 200/Cs., FGC 3001X 5/PK",7.18,pack,https://www.fishersci.com/shop/products/gc-fuller-shurlite-safety-gas-lighter-flints/120075,2019-12-10,2019-12-13,,16
1558,7,hpark,13,Genesee Scientific,6,Lab consumables,27-125U,4,".2ml 8-Well PCR Strip Tubes, U, Hinged Flat Caps Attached",58.58,each,https://geneseesci.com/shop-online/product-details/?product=27-125U,2019-12-10,2019-12-16,,60
1559,7,hpark,9,Fisher,6,Lab consumables,NC0874396,5,81-Place Cardboard Dividers,14.75,pack of 12,https://www.fishersci.com/shop/products/81-place-cell-divider-dozen/nc0874396,2019-12-10,2019-12-16,,13
1560,26,kchen,3,Bio-Rad,2,Mol Bio Consumables,345-9901,1,Criterion Empty Cassettes with 12 well combs,79.10,pack of 10,http://www.bio-rad.com/en-us/sku/3459901-criterion-empty-cassettes,2019-12-11,2019-12-16,,"74, below gel station"
1561,26,kchen,4,NEB,7,Enzymes,M0276S,1,E. coli Poly(A) Polymerase,63.90,100 units,https://www.neb.com/products/m0276-ecoli-poly-a-polymerase#Product%20Information,2019-12-12,2019-12-16,for nanopore tailing,267 -20 freezer enzyme box (RNA box)
1563,7,hpark,9,Fisher,5,Chemicals,184SIL ELAST KIT 0.5,2,Dow Corning Sylgard 184 Silicone Encapsulant Clear 0.5 kg Kit,108.47,kit,http://www.ellsworth.com/products/by-market/consumer-products/encapsulants/silicone/dow-corning-sylgard-184-silicone-encapsulant-clear-0.5-kg-kit/,2019-12-13,2020-01-24,,HPark drawer 140
1564,7,hpark,35,BD,6,Lab consumables,427565,1,427565 - BD Intramedic™ 23-gauge fits into BD Intramedic™ PE 50 tubing (100/sp),225.54,pack,http://catalog.bd.com/nexus-ecat/getProductDetail?productId=427565&parentCategory=&parentCategoryName=&categoryId=1201&categoryName=Adapters%20and%20Tubing&searchUrl=,2019-12-13,2019-12-23,,Drawer 165
